Line in Master,Company,Industry,Code,Metrics,Reported,Quantitative,MonetaryLoss
208.0,CVS Health Corp,MANAGED CARE,HC-MC-240a.2,Total amount of rebates accrued and paid due to non-compliance with the Patient Protection and Affordable Care Act for Medical Loss Ratio (MLR)   ,0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-240a.3,Percentage of proposed rate increases receiving “not unreasonable” designation from Health and Human Services (HHS) review or state review,0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-450a.1,"Discussion of the strategy to address the effects of climate change on business operations and how specific risks presented by changes in the geographic incidence, morbidity, and mortality of illnesses and diseases are incorporated into risk models",0,0.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-230a.1,Description of policies and practices to secure customers’ protected health information (PHI) records and other personally identifiable information (PII),1,0.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-230a.2,"(1) Number of data breaches, (2) percentage involving (a) personally identifiable information (PII) only and (b) protected health information (PHI), (3) number of customers affected in each category, (a) PII only and (b) PHI",0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-230a.3,Total amount of monetary losses as a result of legal proceedings associated with data security and privacy,0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-260a.1,"Percentage of enrollees in wellness programs by type: (1) diet and nutrition, (2) exercise, (3) stress management, (4) mental health, (5) smoking or alcohol cessation, or (6) other",0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-260a.2,"Total coverage for preventive health services with no cost sharing for the enrollees, total coverage for preventive health services requiring cost-sharing by the enrollee, percentage of enrollees receiving Initial Preventive Physical Examinations (IPEE) or Annual Wellness Visits (AWV)",0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-260a.3,Number of customers receiving care from Accountable Care Organizations or enrolled in Patient-Centered Medical Home programs,0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-250a.1,"Average Medicare Advantage plan rating for each of the following plan types: (1) HMO, (2) local PPO, (3) regional PPO, (4) PFFS, and (5) SNP",0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-250a.2,"Enrollee retention rate by plan type, including: (1) HMO, (2) local PPO, (3) regional PPO, (4) PFFS, and (5) SNP",0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-250a.3,Percentage of claims denied that were appealed by customers and ultimately reversed,0,1.0,
208.0,CVS Health Corp,MANAGED CARE,HC-MC-250a.4,Plan enrollee grievance rate,0,1.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-430a.1,"Amount of palm oil sourced, percentage certified through the Roundtable on Sustainable Palm Oil (RSPO) supply chains as (a) Identity Preserved, (b) Segregated, (c) Mass Balance, or (d) Book & Claim",0,1.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-410a.1,"(1) Total weight of packaging, (2) percentage made from recycled and/or renewable materials, and (3) percentage that is recyclable, reusable, and/or compostable",0,1.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-410a.2,Discussion of strategies to reduce the environmental impact of packaging throughout its lifecycle,1,0.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-250a.1,Revenue from products that contain REACH substances of very high concern (SVHC),0,1.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-250a.2,Revenue from products that contain substances on the California DTSC Candidate Chemicals List,0,1.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-250a.3,Discussion of process to identify and manage emerging materials and chemicals of concern,0,0.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-250a.4,Revenue from products designed with green chemistry principles,0,1.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-140a.1,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress",1,1.0,
208.0,CVS Health Corp,HOUSEHOLD & PERSONAL PRODUCTS,CG-HP-140a.2,Description of water management risks and discussion of strategies and practices to mitigate those risks,1,0.0,
208.0,CVS Health Corp,MULTILINE AND SPECIALTY RETAILERS & DISTRIBUTORS,CG-MR-230a.1,Description of approach to identifying and addressing data security risks,1,0.0,
