PERMNO,date,NAMEENDT,NCUSIP,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
19285,11/12/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.785,38.935,37.96,37.95,37.96,38
19285,11/13/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.14,38.61,38.29,38.28,38.29,38.23
19285,11/16/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.48,40.51,40.5,40.5,40.51,39.24
19285,11/17/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,39.86,41.48,40.36,40.32,40.36,41.45
19285,11/18/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,39.37,40.59,39.39,39.38,39.39,40.28
19285,11/19/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.51,39.28,39.13,39.13,39.14,39
19285,11/20/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.21,39.1,38.54,38.54,38.55,38.93
19285,11/23/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.4,39.14,38.77,38.77,38.79,39
19285,11/24/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.43,39.565,39.37,39.36,39.37,38.94
19285,11/25/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.52,39.24,38.61,38.62,38.63,39.06
19285,11/27/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.46,38.84,37.81,37.82,37.86,38.69
19285,11/30/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.41,38.48,38.07,38.06,38.07,37.75
19285,12/1/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.55,38.94,37.6,37.6,37.61,38.64
19285,12/2/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.56,37.28,36.83,36.83,36.84,37.19
19285,12/3/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.6,37.77,36.69,36.69,36.72,37.19
19285,12/4/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.055,37.97,37.7,37.69,37.7,37.27
19285,12/7/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.71,37.7,36.84,36.84,36.85,37.55
19285,12/8/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.61,37.57,37.3,37.3,37.31,36.64
19285,12/9/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.39,37.99,37.84,37.84,37.87,37.41
19285,12/10/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.2674,38.47,37.54,37.54,37.55,37.67
19285,12/11/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.76,37.39,37.16,37.16,37.17,37.16
19285,12/14/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.52,37.55,36.62,36.58,36.62,37.5
19285,12/15/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.52,37.91,37.67,37.67,37.68,37.1
19285,12/16/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.34,38.02,38,37.99,38.02,37.73
19285,12/17/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.25,38.865,38.7,38.7,38.71,38.41
19285,12/18/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.61,38.86,38.79,38.75,38.79,38.75
19285,12/21/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.9308,38.72,38.52,38.5,38.51,38
19285,12/22/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.86,38.52,38.03,38,38.02,38.29
19285,12/23/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.8,38.4,38.16,38.16,38.17,38.12
19285,12/24/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.85,38.24,37.89,37.9,37.95,37.91
19285,12/28/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.75,39.43,37.76,37.76,37.77,38.11
19285,12/29/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.68,38.18,37.17,37.17,37.18,38
19285,12/30/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,37.25,37.8,37.73,37.74,37.75,37.31
19285,12/31/2020,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.92,37.81,37.72,37.71,37.72,37.62
19285,1/4/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.98,38.38,37.03,37,37.01,38.35
19285,1/5/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,36.8,38.18,37.94,37.93,37.94,37
19285,1/6/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,38.32,40.26,40.05,40.04,40.05,38.32
19285,1/7/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,40,41.19,41.09,41.08,41.09,40.41
19285,1/8/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,40,41.35,40.69,40.66,40.69,41.2
19285,1/11/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,39.85,41.8428,41.57,41.59,41.6,39.88
19285,1/12/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,41.05,41.94,41.74,41.7,41.71,41.56
19285,1/13/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,40.83,41.89,41.38,41.38,41.39,41.42
19285,1/14/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,40.73,41.59,40.8,40.8,40.82,41.4
19285,1/15/2021,,14448C10,CARR,CARRIER GLOBAL CORP,14448C10,39.571,40.6,40.38,40.36,40.38,40.6
